"BehaviorSpace results (NetLogo 5.1.0)"
"2.nlogo"
"risk-analysis"
"12/21/2014 19:28:12:945 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"carrying-capacity","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500"
"red-fertility","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"blue-fertility","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
"[reporter]","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction"
"[final]","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"[min]","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[max]","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[mean]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[steps]","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"

"[all run data]","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction","red-extinction"
,"0","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
,"false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
,"false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
,"false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
,"false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
,"false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
,"false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
,"false","false","false","false","false","false","false","false","true","false","false","true","true","true","true","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false"
