"BehaviorSpace results (NetLogo 5.0.5)"
"BusinessInvestors_Sect11-5.nlogo"
"experiment"
"12/21/2014 20:53:12:121 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","1","1","1"
"[reporter]","mean [ wealth ] of turtles","standard-deviation [ num-investor-failures ] of turtles","standard-deviation [ mean [ wealth ] of turtles ] of turtles"
"[final]","100615.5752751503","0","2.2751510840915483E-11"
"[min]","0","0","0"
"[max]","100615.5752751503","0","1.7078355718850302E-10"
"[mean]","57381.16044135624","0","7.434103688437514E-11"
"[steps]","25","25","25"

"[all run data]","mean [ wealth ] of turtles","standard-deviation [ num-investor-failures ] of turtles","standard-deviation [ mean [ wealth ] of turtles ] of turtles"
,"0","0","0"
,"6839.775579624014","0","1.0525384295314181E-11"
,"13505.837122627336","0","1.614167084271269E-11"
,"19817.558240312697","0","2.6414124219613488E-11"
,"25503.71626098026","0","4.990824578835435E-11"
,"31255.457416222518","0","6.737035762972934E-11"
,"35670.030882688065","0","5.317632087397911E-11"
,"40538.06521449958","0","9.732095565810673E-11"
,"43565.35737363717","0","2.760450700004469E-11"
,"48689.881798020724","0","8.780922296613558E-11"
,"50895.40953195758","0","6.879687849017792E-11"
,"57731.88372263361","0","9.784701871023166E-11"
,"59318.32211496952","0","5.676584758565387E-11"
,"61987.89257488061","0","6.647643444054246E-11"
,"64915.54200134454","0","4.6548670509299715E-11"
,"67321.9327671567","0","1.2154785156020922E-10"
,"74227.64744819407","0","8.912991831390067E-11"
,"76818.88862580752","0","1.7078355718850302E-10"
,"78673.84034801707","0","1.4067611655028245E-10"
,"82208.18915306323","0","1.0149526876041695E-10"
,"86542.33322078569","0","1.282024240491414E-10"
,"89306.43498264345","0","3.2241904957161593E-11"
,"88188.2650552958","0","9.269439509278587E-11"
,"91339.29998356325","0","1.6314174727441978E-10"
,"96433.03478118683","0","9.749662539612123E-11"
,"100615.5752751503","0","2.2751510840915483E-11"
