"BehaviorSpace results (NetLogo 5.0.5)"
"BusinessInvestors_Sect11-5.nlogo"
"experiment"
"12/21/2014 20:55:01:503 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","1","1","1"
"[reporter]","mean [ wealth ] of turtles","standard-deviation [ num-investor-failures ] of turtles","standard-deviation [ mean [ wealth ] of turtles ] of turtles"
"[final]","108248.14656032262","0","1.2364155256332276E-10"
"[min]","0","0","0"
"[max]","108550.6418639297","0","1.7530758961073455E-10"
"[mean]","65001.8698627296","0","6.381189258355668E-11"
"[steps]","25","25","25"

"[all run data]","mean [ wealth ] of turtles","standard-deviation [ num-investor-failures ] of turtles","standard-deviation [ mean [ wealth ] of turtles ] of turtles"
,"0","0","0"
,"6426.459228456024","0","2.421871698785056E-12"
,"12632.81658993939","0","1.4531230192710338E-11"
,"19607.746463898762","0","2.5223213727232978E-11"
,"24835.303055029133","0","2.5053036190720877E-11"
,"29605.59118197916","0","1.32789875965407E-11"
,"35742.27925942803","0","5.581109302499037E-11"
,"41596.44929447503","0","6.247470943870178E-11"
,"46438.4444884425","0","1.3223500606037587E-11"
,"51966.92641392164","0","2.5822946167195153E-11"
,"53772.36049092115","0","7.764121386156682E-11"
,"59241.92860344501","0","8.250947470653013E-11"
,"65886.29637538284","0","1.2767578584237197E-10"
,"71059.12316810741","0","7.3752328928605E-11"
,"76942.24693290006","0","1.7530758961073455E-10"
,"81701.91024541292","0","5.068437115048621E-11"
,"86250.89736412547","0","5.572959243764275E-11"
,"90171.27466572549","0","3.61512371350538E-11"
,"94915.59518159938","0","7.890847705509667E-11"
,"99878.9516388142","0","1.0777113919510752E-10"
,"103072.53277103949","0","1.3185433303309914E-10"
,"106882.40453803727","0","2.957768727286903E-11"
,"107719.9645638828","0","1.114687797778019E-10"
,"106902.32549175358","0","1.2265150101861753E-10"
,"108550.6418639297","0","3.594355494065258E-11"
,"108248.14656032262","0","1.2364155256332276E-10"
