id,tick,wealth,profit,risk,utility,wealth-increase-rate
58,0,0,2265.621235889662,0.048400427428399916,0,1767.8593296802512
90,0,0,9639.644249101582,0.041546543217300946,0,7796.757327935435
68,0,0,1202.850027995267,0.05087181187337118,0,926.433604656708
50,0,0,8481.469320235852,0.010377128024660376,0,8050.43165728735
34,0,0,4251.811648400433,0.03926005777159528,0,3480.156074091038
33,0,0,8208.698991691737,0.03007586322040317,0,7046.304712811019
85,0,0,6082.419188357625,0.07635103476828074,0,4088.877744831607
32,0,0,1209.0363956529686,0.029871822405066646,0,1038.8987081135178
8,0,0,7268.200352392394,0.09565210125563622,0,4396.395488800139
0,0,0,1193.9853989492506,0.0836782592813074,0,771.2569764396563
44,0,0,4452.165359315804,0.028431952235106174,0,3854.2011582861137
93,0,0,3365.9653784237876,0.09219165856332338,0,2075.2214152019524
46,0,0,6084.109367025296,0.0153955059252713,0,5629.9550732858315
84,0,0,7072.248574215656,0.02843643288475116,0,6122.259231577708
18,0,0,5563.993269286569,0.0958896434734301,0,3361.116652049945
35,0,0,1542.7388858434865,0.08274858727327625,0,1001.6222456539135
98,0,0,3895.4698404414935,0.058547816415216204,0,2881.000480166428
36,0,0,7521.992594671666,0.09962354333594962,0,4450.876932677141
52,0,0,1367.2264639229097,0.04856557629316933,0,1065.9008341208541
27,0,0,1901.9133708551694,0.07109222260979217,0,1315.3258725871062
88,0,0,4981.743247092842,0.09556321747862848,0,3014.8176412626644
86,0,0,3838.224375441159,0.07031269359320705,0,2665.660962473742
45,0,0,4192.934351083908,0.09838398150363141,0,2498.1131423670513
57,0,0,2834.7872362927665,0.042926436309831485,0,2276.352706294702
14,0,0,3896.5731674809535,0.09633740360556768,0,2348.008521184997
24,0,0,9370.833351095336,0.047788927993454924,0,7335.703648024425
26,0,0,2109.420877046853,0.048015933143553284,0,1649.3018744957462
16,0,0,1015.0419941310819,0.03180728448639571,0,863.5312392160474
96,0,0,7150.295680694737,0.07261844355894384,0,4904.680389254363
11,0,0,5784.658050023259,0.060289686392443156,0,4238.792748106344
10,0,0,5227.982818248886,0.05765187771535383,0,3884.9484092280254
64,0,0,4805.744031761042,0.030203928473981824,0,4122.49124995051
42,0,0,9673.747737360489,0.08397719691846224,0,6239.089850431767
63,0,0,9069.272482477409,0.020380902370793916,0,8181.965183407148
6,0,0,5596.492734799618,0.034451911923491146,0,4696.588514720601
53,0,0,4998.2315449010475,0.08364025516257692,0,3229.5117373716985
15,0,0,4864.8658694069545,0.04220254627902433,0,3921.3442096906247
47,0,0,5151.580051780529,0.0617031565551135,0,3746.5834191695076
49,0,0,2140.4041882271704,0.07211664078846372,0,1472.123694270308
67,0,0,2917.6569643629323,0.031416409424945134,0,2487.2223607707206
