"BehaviorSpace results (NetLogo 5.0.5)"
"BusinessInvestors_Sect11-5.nlogo"
"experiment"
"12/21/2014 20:54:36:961 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","1","1","1"
"[reporter]","mean [ wealth ] of turtles","standard-deviation [ num-investor-failures ] of turtles","standard-deviation [ mean [ wealth ] of turtles ] of turtles"
"[final]","56654.34725971697","0","6.736738105263511E-11"
"[min]","0","0","0"
"[max]","56654.34725971697","0","1.1402049095272346E-10"
"[mean]","33638.026275278724","0","4.1494089279680414E-11"
"[steps]","25","25","25"

"[all run data]","mean [ wealth ] of turtles","standard-deviation [ num-investor-failures ] of turtles","standard-deviation [ mean [ wealth ] of turtles ] of turtles"
,"0","0","0"
,"4536.610048582966","0","8.259631477028372E-12"
,"8243.796855772298","0","6.90596794790577E-12"
,"11613.043966897305","0","2.820337294733642E-12"
,"15303.60401551847","0","1.6316714810462195E-11"
,"18451.82556744488","0","3.911905985504441E-11"
,"20748.22345985437","0","4.2692758066928514E-11"
,"23937.393797135806","0","4.551624055188714E-11"
,"26848.188387688428","0","1.657077372752142E-11"
,"29517.973057281477","0","4.800216331482645E-11"
,"29987.11608318138","0","3.6158632294614644E-11"
,"31206.175214473147","0","8.5903746758449E-12"
,"34044.87999064734","0","6.195901997917198E-11"
,"36445.63461086135","0","6.775915871005434E-11"
,"38933.631750104476","0","8.775135053373048E-12"
,"41682.47951319619","0","5.872442209619595E-11"
,"42576.93083963519","0","2.6203244848250178E-11"
,"44485.7149076263","0","5.022332959874249E-11"
,"46543.89960589181","0","6.346404055554594E-11"
,"47968.604220915164","0","2.9667945911946846E-11"
,"50563.824772064676","0","6.909935199210129E-11"
,"51022.83543404539","0","1.933352974904726E-11"
,"53643.6541671872","0","1.1402049095272346E-10"
,"55023.47239626718","0","7.846675192883526E-11"
,"54604.823235257085","0","9.28298648262699E-11"
,"56654.34725971697","0","6.736738105263511E-11"
