"BehaviorSpace results (NetLogo 5.1.0)"
"1.nlogo"
"blue-fertility_red-extinction"
"12/21/2014 19:22:44:472 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247","248","249","250","251","252","253","254","255","256","257","258","259","260","261","262","263","264","265","266","267","268","269","270","271","272","273","274","275","276","277","278","279","280","281","282","283","284","285","286","287","288","289","290","291","292","293","294","295","296","297","298","299","300"
"carrying-capacity","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500"
"red-fertility","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"blue-fertility","3","3","3","3","3","3","3","3","3","3","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","4","4","4","4","4","4","4","4","4","4","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","5","5","5","5","5","5","5","5","5","5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","6","6","6","6","6","6","6","6","6","6","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","7","7","7","7","7","7","7","7","7","7","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","8","8","8","8","8","8","8","8","8","8","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","9","9","9","9","9","9","9","9","9","9","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","10","10","10","10","10","10","10","10","10","10","3","3","3","3","3","3","3","3","3","3","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","4","4","4","4","4","4","4","4","4","4","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","5","5","5","5","5","5","5","5","5","5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","6","6","6","6","6","6","6","6","6","6","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","7","7","7","7","7","7","7","7","7","7","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","8","8","8","8","8","8","8","8","8","8","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","9","9","9","9","9","9","9","9","9","9","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","10","10","10","10","10","10","10","10","10","10"
"[reporter]","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks"
"[final]","24","22","42","33","17","24","19","18","17","22","15","22","20","12","18","15","17","14","14","17","13","11","18","13","20","12","19","10","10","10","9","9","10","16","10","12","10","11","11","11","12","11","8","10","10","9","12","9","9","10","8","11","9","9","9","9","10","11","8","9","7","7","7","6","10","7","10","9","8","9","6","7","6","8","7","8","8","6","8","8","7","5","6","8","7","6","8","8","7","8","9","8","7","9","7","9","6","5","6","6","7","6","6","7","7","6","5","6","6","6","9","7","6","6","6","5","5","5","7","7","6","5","5","6","6","6","6","5","6","5","5","5","5","5","6","6","6","6","6","4","6","9","5","4","7","5","5","5","5","4","27","22","29","22","23","29","26","24","17","31","15","16","25","19","22","17","19","17","22","19","15","13","13","17","14","15","17","15","14","14","11","12","14","12","15","12","14","14","9","14","12","15","11","10","9","13","14","11","17","10","8","10","14","9","9","10","9","11","10","15","10","11","7","10","9","8","7","9","9","8","8","9","13","8","10","9","8","8","9","8","9","9","7","7","9","8","10","10","10","8","8","7","7","7","6","7","7","10","10","10","10","10","8","10","8","8","7","7","6","7","7","6","6","7","6","8","9","7","9","8","7","8","7","7","6","9","6","8","7","7","7","7","6","6","7","8","6","5","6","6","5","6","6","6","8","6","5","6","7","5"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","24","22","42","33","17","24","19","18","17","22","15","22","20","12","18","15","17","14","14","17","13","11","18","13","20","12","19","10","10","10","9","9","10","16","10","12","10","11","11","11","12","11","8","10","10","9","12","9","9","10","8","11","9","9","9","9","10","11","8","9","7","7","7","6","10","7","10","9","8","9","6","7","6","8","7","8","8","6","8","8","7","5","6","8","7","6","8","8","7","8","9","8","7","9","7","9","6","5","6","6","7","6","6","7","7","6","5","6","6","6","9","7","6","6","6","5","5","5","7","7","6","5","5","6","6","6","6","5","6","5","5","5","5","5","6","6","6","6","6","4","6","9","5","4","7","5","5","5","5","4","27","22","29","22","23","29","26","24","17","31","15","16","25","19","22","17","19","17","22","19","15","13","13","17","14","15","17","15","14","14","11","12","14","12","15","12","14","14","9","14","12","15","11","10","9","13","14","11","17","10","8","10","14","9","9","10","9","11","10","15","10","11","7","10","9","8","7","9","9","8","8","9","13","8","10","9","8","8","9","8","9","9","7","7","9","8","10","10","10","8","8","7","7","7","6","7","7","10","10","10","10","10","8","10","8","8","7","7","6","7","7","6","6","7","6","8","9","7","9","8","7","8","7","7","6","9","6","8","7","7","7","7","6","6","7","8","6","5","6","6","5","6","6","6","8","6","5","6","7","5"
"[mean]","12","11","21","16.5","8.5","12","9.5","9","8.5","11","7.5","11","10","6","9","7.5","8.5","7","7","8.5","6.5","5.5","9","6.5","10","6","9.5","5","5","5","4.5","4.5","5","8","5","6","5","5.5","5.5","5.5","6","5.5","4","5","5","4.5","6","4.5","4.5","5","4","5.5","4.5","4.5","4.5","4.5","5","5.5","4","4.5","3.5","3.5","3.5","3","5","3.5","5","4.5","4","4.5","3","3.5","3","4","3.5","4","4","3","4","4","3.5","2.5","3","4","3.5","3","4","4","3.5","4","4.5","4","3.5","4.5","3.5","4.5","3","2.5","3","3","3.5","3","3","3.5","3.5","3","2.5","3","3","3","4.5","3.5","3","3","3","2.5","2.5","2.5","3.5","3.5","3","2.5","2.5","3","3","3","3","2.5","3","2.5","2.5","2.5","2.5","2.5","3","3","3","3","3","2","3","4.5","2.5","2","3.5","2.5","2.5","2.5","2.5","2","13.5","11","14.5","11","11.5","14.5","13","12","8.5","15.5","7.5","8","12.5","9.5","11","8.5","9.5","8.5","11","9.5","7.5","6.5","6.5","8.5","7","7.5","8.5","7.5","7","7","5.5","6","7","6","7.5","6","7","7","4.5","7","6","7.5","5.5","5","4.5","6.5","7","5.5","8.5","5","4","5","7","4.5","4.5","5","4.5","5.5","5","7.5","5","5.5","3.5","5","4.5","4","3.5","4.5","4.5","4","4","4.5","6.5","4","5","4.5","4","4","4.5","4","4.5","4.5","3.5","3.5","4.5","4","5","5","5","4","4","3.5","3.5","3.5","3","3.5","3.5","5","5","5","5","5","4","5","4","4","3.5","3.5","3","3.5","3.5","3","3","3.5","3","4","4.5","3.5","4.5","4","3.5","4","3.5","3.5","3","4.5","3","4","3.5","3.5","3.5","3.5","3","3","3.5","4","3","2.5","3","3","2.5","3","3","3","4","3","2.5","3","3.5","2.5"
"[steps]","24","22","42","33","17","24","19","18","17","22","15","22","20","12","18","15","17","14","14","17","13","11","18","13","20","12","19","10","10","10","9","9","10","16","10","12","10","11","11","11","12","11","8","10","10","9","12","9","9","10","8","11","9","9","9","9","10","11","8","9","7","7","7","6","10","7","10","9","8","9","6","7","6","8","7","8","8","6","8","8","7","5","6","8","7","6","8","8","7","8","9","8","7","9","7","9","6","5","6","6","7","6","6","7","7","6","5","6","6","6","9","7","6","6","6","5","5","5","7","7","6","5","5","6","6","6","6","5","6","5","5","5","5","5","6","6","6","6","6","4","6","9","5","4","7","5","5","5","5","4","27","22","29","22","23","29","26","24","17","31","15","16","25","19","22","17","19","17","22","19","15","13","13","17","14","15","17","15","14","14","11","12","14","12","15","12","14","14","9","14","12","15","11","10","9","13","14","11","17","10","8","10","14","9","9","10","9","11","10","15","10","11","7","10","9","8","7","9","9","8","8","9","13","8","10","9","8","8","9","8","9","9","7","7","9","8","10","10","10","8","8","7","7","7","6","7","7","10","10","10","10","10","8","10","8","8","7","7","6","7","7","6","6","7","6","8","9","7","9","8","7","8","7","7","6","9","6","8","7","7","7","7","6","6","7","8","6","5","6","6","5","6","6","6","8","6","5","6","7","5"

